Tipo,Endereço IP,Contagem
IP de Origem
192.168.1.7,11
2800:3f0:4001:844::200a,5
140.82.113.21,1
2804:868:d053:7070:6da8:ddaa:86be:457f,8
35.174.127.31,1
79.127.252.106,2
2804:868:2::a,2
13.89.179.11,5
2a03:2880:f205:2c5:face:b00c:0:167,2

IP de Destino
140.82.113.21,1
35.174.127.31,2
2804:868:d053:7070:6da8:ddaa:86be:457f,9
192.168.1.7,9
2800:3f0:4001:844::200a,5
79.127.252.106,2
2804:868:2::a,2
13.89.179.11,6
2a03:2880:f205:2c5:face:b00c:0:167,1
